Параметры лексем	Ижорский (сойкинский) [Nirvi]	Ижорский (сойкинский) [учебная]	Финский	Эстонский	Немецкий	Комментарии
n	akka	akka	pärerahko			
			vanha nainen | mummo			
n	akkain	akkain	?	poole eideke		
nom	akkaja [Ro]	akkaja	?	hakkaja, ettevõtlik mees		
n	ak̆kāna | aGana	akkaana | akana	akana			
n	akkimain	akkimain	hyväilysana			
n	akko	akko	pärepihti			
			verkonkorjausteline			
n	aktjōri	aktjoori	pahantekijä			
n	aktsīZ	aktsiiz	tullimaksu			
			aksiisi			
n	aktsīZnoĭ	aktsiisnoi	viinan tarkastaja			
postp	al | alla | nal | ал	al | alla | nal | аl	alla			
n	ala-	ala-	ala-			
n	ala	ala	?			
n	aлahain [Ro]	alahain	?	jõe alajooksul elavaid		
adv	alahāl	alahaal	alhaalla			
adv	alahalle | alahalek [Hev]	alahalle | alahalek	?		nach unten	
adv	alahittē	alahittee	alaitse			
adv	alait̀se | alait̀si | alait̀s͔e | alaits͔e | ala(i)ts | ala(i)ts | ałatši | alait̀sE | alaitse [L-suu] | alaitsi [L-suu] | alatsE [Kurkola]	alaitse | alaitsi | alaitse | alaitse |alaits | alats | alatši | alaitsE | alaitse | alaitsi | alatsE	alitse			
adv	alaitsek	alaitsek	?		unten vorbei	
adv, postp	alak | allak [Hev] | ala [Nar]	alak | allak | ala	?		nach unten	
n	alajᵘōksu | alajᵘōksu	alajooksu | alajuoksu	tuuli, joka hangen pintaa pitkin kulkiessaan kuljettaa lunta mukanaan			
adj	alakuloine	alakuloine	alakuloinen			
n	alameri	alameri	alkoi			
n	alanen	alanen	alasin			
nom	alanikko	alanikko	?		niedriger Ort	
n	alanneh	alanneh	?		ein niedrig gel(i)egener Ort	
n	aлaηgumā [Ro]	alangumaa	?	madalik		
n	alaselüs [L-suu]	alaselüs	verkon alapaula			
adv, conj	alaZ	alaz	alas			
n	alasparZi [Hev]	alasparsi	riihen parsi			
adv	alaspäin | alas päin	alaspäin | alas päin	alaspäin			
adv	alassin | aлassi | alas̆si [Ro]	alassin | alassi | alassi	alasti			
adv	alassoillē	alassoillee	alassuin			
adj	alastoĭn	alastoin	alaston			
n	alaznḙ̄gla	alazneegla	neula, jolla 'alaset' neulottiin			
n	alaZvāhto	alasvaahto	tuisku | lumin tuiskuaminen pitkin jäätä | peltoa			
n	alaZvirDa	alasvirta	myötävirta			
adv	alatsi [Ro]	alatsi	?	alt läbi		
adv	alattuisē	alattuisee	alinomaa			
adv, postp	alD	ald	alta			
n	alDo	alto	aalto			
			laine			
v	aleDa	aleta	?			
			"huonontua | tyyntyä ""(tuulesta)"""			
adj	alemBain	alempain	alimmainen			
adj	alemBi	alempi	?			
v	alenDā	alentaa	laskea alemmas			
v	alGeDa	alketa	raueta			
			?			
n	alGu	alku	alku			
n	alileuGa	alileuka	alahuuli			
n [pl]	aliripsuD	aliripsud	alaluomet			
adj	alimain	alimain	alimainen			
v	alkā | alk̀ā | aлga [Ylä-L]	alkaa | alkaa | alga	alkaa			
v	alkkene-	alkkene-	raueta			
			?			
v	alkua | alGua | aлgua [Ylä-L]	alkua | alkua | algua	alkaa			
v	alku-	alku-	?		anfangen	
pr n	Alkus	Alkus	Alava			
postp	alla | allāη	alla | allaan	?			
			alle			
adj	al̆lain	allain	alainen			
